000.rules/020.binding/0000201_PERSONA_OS_ROOT_FILE_RULE.md | same_dir_file | missing_file | 000000_PERSONA_OS_CANONICAL_FULL.md | 000.rules/020.binding/000000_PERSONA_OS_CANONICAL_FULL.md
000.rules/020.binding/PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_file | 000.rules/020.binding/000000_PERSONA_OS_CANONICAL_FULL.md | 000.rules/020.binding/000000_PERSONA_OS_CANONICAL_FULL.md
000.rules/020.binding/PERSONA_OS_CANONICAL_FULL.md | same_dir_file | missing_file | 000000_PERSONA_OS_CANONICAL_FULL.md | 000.rules/020.binding/000000_PERSONA_OS_CANONICAL_FULL.md
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 010.constitution/010.core/010.constitution/ | 010.constitution/010.core/010.constitution
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 010.constitution/020.identity/010.constitution/ | 010.constitution/020.identity/010.constitution
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 010.constitution/030.state/010.constitution/ | 010.constitution/030.state/010.constitution
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 010.constitution/040.memory/010.constitution/ | 010.constitution/040.memory/010.constitution
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 010.constitution/050.growth/010.constitution/ | 010.constitution/050.growth/010.constitution
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 010.constitution/060.builder/010.constitution/ | 010.constitution/060.builder/010.constitution
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 010.constitution/070.visual/010.constitution/ | 010.constitution/070.visual/010.constitution
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 010.constitution/080.runtime_hosting/010.constitution/ | 010.constitution/080.runtime_hosting/010.constitution
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 010.constitution/090.snapshot/010.constitution/ | 010.constitution/090.snapshot/010.constitution
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 010.constitution/100.package/010.constitution/ | 010.constitution/100.package/010.constitution
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 010.constitution/100.security/ | 010.constitution/100.security
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 010.constitution/110.distribution/010.constitution/ | 010.constitution/110.distribution/010.constitution
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 010.constitution/120.external_rights/010.constitution/ | 010.constitution/120.external_rights/010.constitution
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 010.constitution/130.access_license_transfer/010.constitution/ | 010.constitution/130.access_license_transfer/010.constitution
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 010.constitution/170.operations-support/ | 010.constitution/170.operations-support
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 020.architecture/050.growth/020.architecture/ | 020.architecture/050.growth/020.architecture
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 020.architecture/060.builder/020.architecture/ | 020.architecture/060.builder/020.architecture
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 020.architecture/070.visual/020.architecture/ | 020.architecture/070.visual/020.architecture
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 020.architecture/080.runtime_hosting/020.architecture/ | 020.architecture/080.runtime_hosting/020.architecture
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 020.architecture/090.snapshot/020.architecture/ | 020.architecture/090.snapshot/020.architecture
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 020.architecture/100.package/020.architecture/ | 020.architecture/100.package/020.architecture
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 020.architecture/100.security/ | 020.architecture/100.security
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 020.architecture/110.distribution/020.architecture/ | 020.architecture/110.distribution/020.architecture
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 020.architecture/120.external_rights/020.architecture/ | 020.architecture/120.external_rights/020.architecture
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 020.architecture/130.access_license_transfer/020.architecture/ | 020.architecture/130.access_license_transfer/020.architecture
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 020.architecture/170.operations-support/ | 020.architecture/170.operations-support
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 030.model/050.growth/030.model/ | 030.model/050.growth/030.model
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 030.model/060.builder/030.model/ | 030.model/060.builder/030.model
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 030.model/080.runtime_hosting/030.model/ | 030.model/080.runtime_hosting/030.model
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 030.model/090.snapshot/030.model/ | 030.model/090.snapshot/030.model
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 030.model/100.package/030.model/ | 030.model/100.package/030.model
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 030.model/110.distribution/030.model/ | 030.model/110.distribution/030.model
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 030.model/120.external_rights/030.model/ | 030.model/120.external_rights/030.model
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 030.model/130.access_license_transfer/030.model/ | 030.model/130.access_license_transfer/030.model
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 040.runtime/050.growth/040.runtime/ | 040.runtime/050.growth/040.runtime
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 040.runtime/060.builder/040.runtime/ | 040.runtime/060.builder/040.runtime
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 040.runtime/070.visual/040.runtime/ | 040.runtime/070.visual/040.runtime
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 040.runtime/080.runtime_hosting/040.runtime/ | 040.runtime/080.runtime_hosting/040.runtime
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 040.runtime/090.snapshot/040.runtime/ | 040.runtime/090.snapshot/040.runtime
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 040.runtime/100.package/040.runtime/ | 040.runtime/100.package/040.runtime
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 040.runtime/110.distribution/040.runtime/ | 040.runtime/110.distribution/040.runtime
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 040.runtime/120.external_rights/040.runtime/ | 040.runtime/120.external_rights/040.runtime
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 040.runtime/130.access_license_transfer/040.runtime/ | 040.runtime/130.access_license_transfer/040.runtime
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 050.flow/050.growth/050.flow/ | 050.flow/050.growth/050.flow
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 050.flow/060.builder/050.flow/ | 050.flow/060.builder/050.flow
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 050.flow/070.visual/050.flow/ | 050.flow/070.visual/050.flow
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 050.flow/080.runtime_hosting/050.flow/ | 050.flow/080.runtime_hosting/050.flow
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 050.flow/090.snapshot/050.flow/ | 050.flow/090.snapshot/050.flow
000000_PERSONA_OS_CANONICAL_FULL.md | root_relative | missing_dir | 050.flow/100.package/050.flow/ | 050.flow/100.package/050.flow
