archive_top_dir	file_count	dir_count	class_hint
010.root_integrated_history	13	1	archive_bundle
020.deep_index_original_backup_20260417_083712	280	275	archive_bundle
030.narrative_reference_backup_20260417_084136	26	19	archive_bundle
050.auto_reference_resolution_backup_20260417_111254	5	5	archive_bundle
060.stub_materialization_backup_20260417_112556	437	503	archive_bundle
070.duplicate_path_cleanup_backup_20260417_121256	85	108	archive_bundle
070.duplicate_path_cleanup_backup_20260417_122346	669	420	archive_bundle
071.duplicate_path_cleanup_conflicts_20260417_121256	84	105	archive_bundle
071.duplicate_path_cleanup_conflicts_20260417_122346	337	356	archive_bundle
080.clean_delta_v2_backup_20260417_125437	3	1	archive_bundle
090.stub_promotion_batch_1_backup_20260417_132158	206	30	archive_bundle
100.promoted_deepening_batch_1_backup_20260417_134035	206	30	archive_bundle
110.exact_ready_batch_030_120_backup_20260417_134829	201	27	archive_bundle
110.exact_ready_batch_030_120_backup_20260417_134925	0	1	archive_bundle
111.exact_ready_batch_030_120_live_scan_backup_20260417_135656	0	1	archive_bundle
111.exact_ready_batch_030_120_live_scan_backup_20260417_143232	0	1	archive_bundle
120.impl120_safe_exact_upgrade_backup_20260417_144653	0	1	archive_bundle
130.impl120_author_reinforcement_backup_20260417_150009	90	31	archive_bundle
140.constitution_architecture_author_reinforcement_backup_20260417_150617	154	51	archive_bundle
150.development_root_author_reinforcement_backup_20260417_150811	58	30	archive_bundle
160.remaining_layers_author_reinforcement_backup_20260417_152041	559	217	archive_bundle
170.remaining_stub_promotion_bundle_backup_20260417_153929	17	9	archive_bundle
180.remaining_stub_deepen_and_residual_backup_20260417_154213	17	9	archive_bundle
190.residual_stub_bundle_backup_20260417_162606	98	22	archive_bundle
200.exact_payload_fixation_batch_1_backup_20260417_164735	7	5	archive_bundle
210.exact_code_family_batch_1_backup_20260417_164945	7	5	archive_bundle
220.exact_state_transition_batch_1_backup_20260417_165940	7	5	archive_bundle
230.exact_fixation_bundle_120_core_backup_20260417_174222	7	5	archive_bundle
240.persistence_audit_bundle_120_core_backup_20260417_174751	7	5	archive_bundle
250.acceptance_gate_bundle_120_core_backup_20260417_175108	7	5	archive_bundle
260.go_decision_input_backup_20260418_054226	1	1	archive_bundle
270.force_go_canonical_eval_20260418_055411	6	1	archive_bundle
280.persona_boundary_propagation_bundle_backup_20260418_073938	4	2	archive_bundle
290.first_wave_boundary_revalidation_bundle_backup_20260418_074159	13	8	archive_bundle
300.edge_apply_concrete_implementation_block_backup_20260418_074527	0	1	archive_bundle
330.edge_orchestrator_naming_bundle_backup_20260418_112951	3	2	archive_bundle
340.edge_orchestrator_impl_code_prep_bundle_backup_20260418_113441	1	2	archive_bundle
350.edge_orchestrator_design_freeze_bundle_backup_20260418_113916	0	1	archive_bundle
360.edge_29_function_boundary_mapping_bundle_backup_20260418_121148	0	1	archive_bundle
370.snapshot_trust_mega_bundle_backup_20260418_121843	0	1	archive_bundle
380.visual_asset_publish_mega_bundle_backup_20260418_122151	0	1	archive_bundle
390.lifecycle_civilization_integration_mega_bundle_backup_20260418_140508	0	1	archive_bundle
400.edge_29_cross_family_final_freeze_bundle_backup_20260418_172452	0	1	archive_bundle
410.edge_29_targeted_deepening_bundle_backup_20260418_172646	0	1	archive_bundle
420.persona_state_apply_tier_a_exactness_bundle_backup_20260418_173018	0	1	archive_bundle
